language,year,month,pushes,pull_requests,issues,issue_comments,stars,forks,creates,contributors,active_repos
MDX,2020,11,18,6,1,10,2,3,3,17,9
WebAssembly,2020,11,18,11,1,20,18,0,4,29,13
Perl 6,2020,11,18,6,0,0,0,0,4,3,2
Modelica,2020,11,18,5,1,1,1,0,3,11,9
Vim Script,2020,11,17,13,19,49,80,11,4,134,27
Bicep,2020,11,17,5,0,3,1,0,4,8,3
NetLogo,2020,11,16,8,0,1,0,0,4,2,2
Racket,2020,11,16,5,7,8,7,2,4,20,17
Cuda,2020,11,15,8,5,34,15,4,7,32,12
SQLPL,2020,11,15,10,0,0,5,3,0,11,6
Odin,2020,11,15,2,0,0,2,0,0,6,4
Astro,2020,11,15,5,2,3,0,1,4,15,11
VHDL,2020,11,15,2,7,14,4,1,0,20,12
Haml,2020,11,14,8,0,0,0,0,0,3,1
Jsonnet,2020,11,13,15,0,47,12,5,0,34,17
PureScript,2020,11,13,16,4,14,6,2,6,8,20
Game Maker Language,2020,11,13,1,2,7,2,1,1,7,4
Prolog,2020,11,12,0,0,1,5,1,0,13,7
Scilab,2020,11,11,6,0,0,0,0,8,3,3
Awk,2020,11,10,2,0,0,1,0,1,3,2
Standard ML,2020,11,10,6,11,5,2,0,4,6,5
DIGITAL Command Language,2020,11,10,1,0,4,33,2,0,41,3
FreeMarker,2020,11,10,1,2,2,2,1,0,6,5
wdl,2020,11,10,1,1,0,1,1,2,6,5
G-code,2020,11,10,11,0,0,0,0,0,6,6
SMT,2020,11,10,0,6,7,0,0,1,11,6
Visual Basic,2020,11,10,8,2,3,5,3,3,15,12
ASP.NET,2020,11,9,12,0,0,0,0,1,5,3
Nasal,2020,11,9,1,1,0,0,0,0,4,2
API Blueprint,2020,11,9,1,0,0,0,0,0,3,2
Smalltalk,2020,11,8,2,2,1,3,0,0,12,10
Dhall,2020,11,8,1,0,3,2,0,4,8,2
Lex,2020,11,8,2,0,0,0,0,0,4,3
Scheme,2020,11,8,5,3,14,8,3,1,19,8
Visual Basic .NET,2020,11,8,0,2,16,3,2,2,12,7
Nextflow,2020,11,8,2,1,1,4,0,0,10,7
F*,2020,11,7,2,0,0,2,0,2,4,4
Classic ASP,2020,11,7,14,2921,0,14,1,0,16,9
OpenSCAD,2020,11,7,10,1,11,6,2,1,11,9
JSON,2020,11,6,2,1,4,3,1,1,11,4
YAML,2020,11,6,11,1,3,2,0,0,7,5
ATS,2020,11,6,0,0,0,0,0,0,1,1
Riot,2020,11,6,3,3,3,0,0,1,2,1
Gosu,2020,11,6,0,22,10,1,1,0,14,3
Matlab,2020,11,6,1,0,0,8,1,1,10,9
Witcher Script,2020,11,6,12,0,0,0,0,0,1,1
VimL,2020,11,6,1,2,7,21,3,0,29,25
UnrealScript,2020,11,6,2,3,2,0,0,3,7,5
GAP,2020,11,6,5,0,4,1,1,3,7,7
AutoHotkey,2020,11,5,3,0,0,7,2,1,12,7
ASL,2020,11,5,4,6,11,3,1,1,12,6
Grammatical Framework,2020,11,5,0,0,0,0,0,0,2,2
Mercury,2020,11,5,0,1,0,3,0,1,5,2
Inno Setup,2020,11,5,1,0,0,1,1,3,6,6
Max,2020,11,5,0,0,0,1,0,0,3,3
PureBasic,2020,11,5,0,2,1,4,3,0,11,3
BlitzMax,2020,11,4,0,6,33,0,0,0,2,1
Squirrel,2020,11,4,8,0,0,0,1,0,3,2
RobotFramework,2020,11,4,2,0,0,1,0,0,4,3
Agda,2020,11,4,2,0,2,1,0,0,5,4
Objective-C++,2020,11,4,3,2,10,17,4,0,30,12
ASP,2020,11,4,4,0,0,1,0,0,3,4
Logos,2020,11,4,0,11,1,1,1,1,7,4
Objective-J,2020,11,4,2,0,5,0,2,0,7,4
KakouneScript,2020,11,3,0,0,0,0,0,0,1,1
XML,2020,11,3,1,0,2,0,0,0,3,1
J,2020,11,3,1,0,1,0,0,0,2,1
Fennel,2020,11,3,0,1,0,0,0,0,2,2
Gnuplot,2020,11,3,6,0,1,2,1,0,7,6
XQuery,2020,11,3,6,0,1,0,0,3,5,5
SAS,2020,11,3,2,0,0,0,0,1,1,1
Vim Snippet,2020,11,3,1,0,0,1,0,0,2,2
Xtend,2020,11,3,2,1,9,0,0,2,7,3
ObjectScript,2020,11,3,0,2,12,0,0,0,4,2
PicoLisp,2020,11,3,0,0,0,0,0,0,1,1
Factor,2020,11,3,2,0,4,0,0,0,4,1
AngelScript,2020,11,3,2,0,0,0,0,0,3,2
Brainfuck,2020,11,3,1,0,2,0,0,0,3,1
Ada,2020,11,3,1,1,9,0,0,0,7,5
Latte,2020,11,2,2,0,0,0,0,0,1,1
Idris,2020,11,2,1,0,0,2,1,1,4,4
AL,2020,11,2,2,11,0,0,0,1,4,2
CodeQL,2020,11,2,0,0,0,3,1,0,6,2
SQL,2020,11,2,4,2,1,0,0,0,1,1
CartoCSS,2020,11,2,1,3,4,1,0,0,4,2
NASL,2020,11,2,0,1,1,0,0,0,1,1
Alloy,2020,11,2,0,0,0,0,0,0,1,1
StringTemplate,2020,11,2,0,0,0,0,0,0,1,1
JetBrains MPS,2020,11,2,0,0,0,1,0,0,2,2
reStructuredText,2020,11,2,4,3,4,0,4,0,10,1
Qt Script,2020,11,2,0,0,0,0,0,0,1,1
Fluent,2020,11,2,0,0,0,0,1,0,2,1
Gleam,2020,11,2,0,0,0,0,0,0,1,1
Papyrus,2020,11,2,0,0,0,0,0,0,2,2
Rebol,2020,11,2,2,0,0,0,0,3,1,1
VBScript,2020,11,2,0,4,7,5,2,0,6,2
Bro,2020,11,2,0,0,0,0,0,1,1,1
Meson,2020,11,2,4,2,7,0,1,2,4,2
Bluespec,2020,11,1,0,0,0,2,0,0,3,2
M,2020,11,1,10,2,7,3,2,0,11,3
MAXScript,2020,11,1,0,0,0,0,0,0,1,1
AppleScript,2020,11,1,0,0,0,3,1,1,5,3
Stata,2020,11,1,0,0,2,0,0,0,2,2
YARA,2020,11,1,0,0,0,5,3,0,9,5
FIRRTL,2020,11,1,0,0,0,0,0,0,1,1
LSL,2020,11,1,0,0,2,0,0,0,2,2
Cirru,2020,11,1,2,0,0,0,0,3,1,2
COBOL,2020,11,1,1,0,0,2,1,1,4,2
mcfunction,2020,11,1,2,1,7,1,2,0,6,5
Fancy,2020,11,1,0,0,0,0,0,0,1,1
FreeBasic,2020,11,1,0,0,0,0,0,0,1,1
kvlang,2020,11,1,2,0,0,0,0,0,3,1
Uno,2020,11,1,1,0,1,0,0,0,2,1
RenderScript,2020,11,1,0,0,0,1,0,0,2,2
DataWeave,2020,11,1,1,0,0,0,0,1,1,1
Eiffel,2020,11,1,0,1,0,0,0,0,1,1
Valve Data Format,2020,11,0,0,0,0,0,0,0,1,1
NCL,2020,11,0,0,0,0,1,0,0,1,1
Eagle,2020,11,0,0,0,3,0,0,0,2,1
SaltStack,2020,11,0,0,1,1,2,0,0,3,4
Propeller Spin,2020,11,0,0,0,0,0,1,0,1,1
GCC Machine Description,2020,11,0,1,0,0,1,1,0,2,2
Cap'n Proto,2020,11,0,0,0,0,0,1,0,1,1
DTrace,2020,11,0,0,0,0,1,0,0,1,1
Macaulay2,2020,11,0,1,0,12,0,1,0,6,2
Stan,2020,11,0,1,0,1,0,0,1,2,1
Dylan,2020,11,0,0,0,1,0,0,0,1,1
KiCad,2020,11,0,0,0,0,2,0,0,2,1
Lasso,2020,11,0,3,0,1,2,2,0,6,2
NWScript,2020,11,0,0,0,0,1,0,0,1,1
YASnippet,2020,11,0,2,3,0,0,1,0,3,2
mIRC Script,2020,11,0,0,1,0,0,0,0,1,1
Io,2020,11,0,13,0,0,0,0,0,9,2
Protocol Buffer,2020,11,0,0,2,0,0,1,0,2,2
ColdFusion,2020,11,0,0,0,0,2,0,0,2,2
Pawn,2020,11,0,0,0,0,1,1,0,2,1
Web Ontology Language,2020,11,0,0,0,0,2,0,0,3,2
OpenEdge ABL,2020,11,0,0,0,0,1,0,0,1,1
Hosts File,2020,11,0,0,0,0,1,0,0,1,1
FORTRAN,2020,11,0,0,0,0,1,0,0,1,1
VCL,2020,11,0,0,0,0,1,0,0,1,1
Forth,2020,11,0,0,1,0,0,0,0,1,1
AutoIt,2020,11,0,0,0,0,4,1,0,4,4
Smali,2020,11,0,0,2,5,3,3,0,12,3
Ring,2020,11,0,0,0,0,1,0,0,1,1
Open Policy Agent,2020,11,0,0,0,0,4,0,0,4,2
HLSL,2020,11,0,0,1,7,2,0,0,5,4
AGS Script,2020,11,0,0,0,0,5,1,0,6,1
Oz,2020,11,0,0,0,0,2,1,0,2,1
nesC,2020,11,0,0,0,0,1,0,0,1,1
Self,2020,11,0,0,0,0,0,1,0,1,1
Cython,2020,11,0,0,1,0,6,1,0,7,4
ApacheConf,2020,11,0,0,0,0,0,8,0,8,1
Cadence,2020,11,0,0,0,0,1,0,0,1,1
Inform 7,2020,11,0,0,0,0,0,1,0,1,1
ReScript,2020,11,0,0,0,2,1,0,0,3,2
Isabelle,2020,11,0,0,0,4,0,1,0,5,2
AsciiDoc,2020,11,0,0,0,0,2,0,0,2,1
Dafny,2020,11,0,0,1,0,0,0,0,1,1
PEG.js,2020,11,0,0,0,0,2,0,0,2,1
Arduino,2020,11,0,1,0,0,0,2,0,2,2
Bikeshed,2020,11,0,1,1,5,0,0,0,4,2
Chapel,2020,11,0,0,1,1,2,0,0,4,1
Motoko,2020,11,0,0,0,0,3,0,0,3,2
JavaScript,2020,12,62613,49385,8032,22183,14330,5447,19960,37812,26305
Python,2020,12,40348,27829,12337,19952,14644,4036,10080,33126,17983
TypeScript,2020,12,35031,27569,5420,18262,7539,1647,13265,20596,13054
Java,2020,12,25972,18730,3629,13049,5405,2505,7104,18206,10822
HTML,2020,12,24937,13256,1623,4462,1821,1526,4996,10403,6780
Go,2020,12,13670,11504,3014,14983,6702,2080,3762,13539,6859
C++,2020,12,12531,8135,2650,9751,5186,1429,2062,13836,5933
PHP,2020,12,11376,7357,1937,5006,1958,874,3181,7467,5143
C#,2020,12,11335,7998,2130,5775,2723,794,3189,8199,4744
Ruby,2020,12,10747,9279,2109,5345,1055,1044,4347,5554,4346
Shell,2020,12,7640,4330,1079,4938,2191,803,2329,6263,3500
C,2020,12,6942,4645,1374,5573,3128,979,1153,8104,3859
CSS,2020,12,5641,3277,435,893,787,536,1507,3199,2198
Jupyter Notebook,2020,12,4893,2664,395,965,1275,735,894,3695,1782
Vue,2020,12,4865,3786,530,1575,804,283,1703,2686,2060
Rust,2020,12,4453,3288,798,3253,2207,281,1528,4026,2289
Kotlin,2020,12,3803,2825,583,1390,927,205,1335,2670,1482
PowerShell,2020,12,2752,1676,388,1311,215,177,520,1136,604
SCSS,2020,12,2216,1238,127,278,99,112,472,960,646
Swift,2020,12,2154,1215,434,735,1341,199,566,2294,1096
Scala,2020,12,1948,1414,175,1084,254,90,731,1242,853
R,2020,12,1679,700,407,695,208,120,267,1037,789
Dart,2020,12,1563,1067,486,1046,651,214,350,1788,845
Groovy,2020,12,1251,1249,80,205,69,73,313,447,494
Julia,2020,12,1092,677,152,747,171,29,343,499,464
Dockerfile,2020,12,1066,751,125,397,455,138,488,1039,516
HCL,2020,12,958,620,77,326,106,82,358,597,388
Makefile,2020,12,944,692,108,442,178,72,353,745,451
Lua,2020,12,845,454,240,546,266,99,135,921,494
TeX,2020,12,725,383,80,194,205,68,131,569,319
Haskell,2020,12,603,266,107,398,155,31,140,483,275
Objective-C,2020,12,541,393,153,435,380,94,164,912,489
Elixir,2020,12,501,385,66,184,200,39,156,442,314
DM,2020,12,472,398,67,357,0,26,74,320,118
Svelte,2020,12,432,263,25,96,37,10,141,171,145
Perl,2020,12,377,228,77,208,83,29,71,408,228
Nix,2020,12,357,174,34,296,33,8,40,249,93
Clojure,2020,12,348,199,151,155,174,25,103,376,229
Groff,2020,12,347,0,1,0,0,2,0,4,2
LLVM,2020,12,341,13,5,18,15,3,4,108,6
OCaml,2020,12,321,216,48,249,61,12,43,243,140
Blade,2020,12,320,197,7,8,6,4,62,123,85
Smarty,2020,12,307,196,31,94,35,31,111,265,115
Solidity,2020,12,226,127,16,20,30,12,77,140,88
TSQL,2020,12,225,100,13,46,19,24,44,135,84
Fortran,2020,12,223,116,59,284,12,4,30,222,116
EJS,2020,12,222,73,69,4,4,2,60,25,53
Jinja,2020,12,212,151,36,94,27,17,89,193,93
Mustache,2020,12,208,95,16,72,23,25,70,165,77
CMake,2020,12,198,156,48,136,29,18,34,181,99
Apex,2020,12,196,78,1,29,11,5,73,79,32
MATLAB,2020,12,189,98,27,39,11,10,54,127,93
F#,2020,12,186,107,44,126,47,11,113,132,71
PLpgSQL,2020,12,184,122,28,36,15,2,55,107,62
Batchfile,2020,12,183,105,16,58,44,12,31,139,79
Adblock Filter List,2020,12,170,0,9,12,0,0,0,17,9
Lean,2020,12,168,32,0,80,1,1,33,29,5
Starlark,2020,12,167,140,11,32,14,5,89,79,44
Markdown,2020,12,162,142,49,121,773,108,35,947,35
Handlebars,2020,12,153,150,23,50,1,3,65,105,52
Verilog,2020,12,150,73,19,47,19,10,44,93,53
Assembly,2020,12,143,79,14,75,83,33,25,217,95
Emacs Lisp,2020,12,142,93,66,352,153,37,17,348,174
CoffeeScript,2020,12,139,106,15,39,63,19,50,167,94
Crystal,2020,12,133,79,12,64,40,4,45,97,55
Vim script,2020,12,131,102,38,48,229,31,29,329,190
Nim,2020,12,129,78,19,71,19,5,26,80,49
Twig,2020,12,125,87,3,14,3,1,47,55,36
Erlang,2020,12,123,84,27,72,36,42,38,148,114
XSLT,2020,12,119,98,28,100,10,12,31,124,75
Pascal,2020,12,116,65,41,68,47,7,33,120,61
ShaderLab,2020,12,115,55,7,2,8,2,10,42,23
Elm,2020,12,99,54,18,17,11,3,21,55,48
Nextflow,2020,12,94,40,6,21,6,5,10,37,24
Rich Text Format,2020,12,94,74,16,19,6,4,25,47,35
Common Lisp,2020,12,93,26,12,39,29,7,15,81,50
Stylus,2020,12,92,46,9,17,6,5,14,45,35
BitBake,2020,12,92,40,43,16,3,5,25,55,38
VHDL,2020,12,86,14,2,2,5,2,3,37,28
Reason,2020,12,84,56,19,28,61,3,47,104,36
GDScript,2020,12,84,56,16,26,42,4,21,85,47
QML,2020,12,84,38,8,37,8,7,31,64,44
Less,2020,12,81,68,14,51,24,7,29,84,50
V,2020,12,79,64,20,43,25,5,15,53,13
JSON,2020,12,79,112,13,24,2,3,10,38,9
Pug,2020,12,78,35,0,5,4,4,20,31,25
DIGITAL Command Language,2020,12,77,27,1,4,3,1,15,6,4
Smalltalk,2020,12,74,47,35,48,3,3,19,42,32
Roff,2020,12,72,53,10,29,30,6,13,85,40
Gherkin,2020,12,71,44,4,31,5,1,16,59,27
SystemVerilog,2020,12,69,81,9,59,9,3,8,54,23
Nunjucks,2020,12,68,39,5,15,37,5,21,81,32
Tcl,2020,12,68,33,4,35,7,1,6,55,27
Coq,2020,12,66,31,2,28,6,2,13,52,38
Racket,2020,12,65,19,3,10,10,1,9,39,27
Liquid,2020,12,65,47,1,5,11,2,12,39,17
Haxe,2020,12,64,26,17,19,13,3,6,47,26
Open Policy Agent,2020,12,63,43,38,7,3,4,25,38,9
Modelica,2020,12,59,22,3,28,1,0,3,33,15
GLSL,2020,12,58,20,3,10,24,7,8,58,30
Prolog,2020,12,55,13,7,11,6,2,3,20,15
XQuery,2020,12,55,20,0,0,0,0,5,17,8
SaltStack,2020,12,53,18,3,11,2,0,6,25,15
SMT,2020,12,53,23,2,10,1,0,6,11,3
Factor,2020,12,52,13,3,16,0,0,0,6,2
ABAP,2020,12,46,35,6,21,4,0,11,18,11
NSIS,2020,12,45,19,2,0,2,0,28,5,4
Jsonnet,2020,12,44,64,22,86,14,13,28,93,38
Xtend,2020,12,44,31,5,43,0,0,6,16,9
Vala,2020,12,43,20,24,47,35,6,5,75,61
FreeMarker,2020,12,43,24,1,7,1,0,7,22,15
wdl,2020,12,41,17,0,10,0,1,7,18,12
RobotFramework,2020,12,41,11,0,12,0,0,7,22,9
Puppet,2020,12,41,25,2,11,0,2,14,34,30
ASP.NET,2020,12,40,36,0,0,0,0,5,14,8
Hack,2020,12,37,7,0,1,2,5,4,14,9
Common Workflow Language,2020,12,35,15,2,7,0,1,7,11,9
Smali,2020,12,34,0,4,4,10,3,0,17,4
MDX,2020,12,34,18,3,15,2,2,10,34,18
Processing,2020,12,33,22,2,2,16,1,9,25,19
Mathematica,2020,12,32,21,6,22,8,3,1,33,15
WebAssembly,2020,12,31,35,11,32,23,3,4,52,24
Bicep,2020,12,31,28,10,32,8,4,9,27,3
Visual Basic .NET,2020,12,28,15,17,38,5,3,10,28,15
PostScript,2020,12,27,22,4,7,5,4,2,34,16
AMPL,2020,12,26,14,1,4,0,0,0,16,9
Objective-C++,2020,12,26,20,5,17,20,4,8,50,22
ZenScript,2020,12,25,12,10,19,0,0,9,27,10
Raku,2020,12,25,17,11,19,0,1,3,24,14
AutoHotkey,2020,12,25,6,23,4,8,2,3,22,13
AL,2020,12,24,4,21,8,0,0,3,13,3
PLSQL,2020,12,24,4,1,5,2,0,7,14,11
Scheme,2020,12,24,14,1,18,10,2,2,29,22
SQF,2020,12,23,4,3,7,1,2,2,15,8
YARA,2020,12,23,30,7,2,125,47,4,160,14
Visual Basic,2020,12,23,1,0,1,4,4,0,11,11
CodeQL,2020,12,23,20,1,25,4,1,4,27,8
D,2020,12,22,20,7,29,14,5,4,49,25
Ballerina,2020,12,22,22,8,8,0,5,4,25,13
M4,2020,12,21,19,3,3,8,4,0,24,14
RAML,2020,12,21,5,0,5,1,0,3,11,7
Sass,2020,12,20,22,6,13,11,7,8,45,21
Papyrus,2020,12,19,16,0,0,0,0,2,1,1
Vim Script,2020,12,19,15,13,76,87,7,5,142,27
ASL,2020,12,19,11,4,4,1,2,5,16,10
VBA,2020,12,19,16,36,17,1,0,5,13,13
Cuda,2020,12,18,23,5,37,18,2,5,57,23
q,2020,12,18,16,2,1,1,1,5,8,5
Standard ML,2020,12,18,6,1,5,3,0,0,15,9
SourcePawn,2020,12,18,1,1,4,3,4,0,15,14
PureScript,2020,12,18,13,6,29,8,2,7,33,27
Zig,2020,12,18,26,13,43,18,4,2,51,13
Ada,2020,12,18,3,1,5,1,0,3,12,10
ReScript,2020,12,18,7,3,4,8,4,1,23,9
Lex,2020,12,16,2,0,0,0,1,1,4,3
Chapel,2020,12,16,13,2,33,1,0,3,11,4
ActionScript,2020,12,15,3,1,9,1,1,4,15,8
Game Maker Language,2020,12,14,0,11,9,1,0,0,8,3
Max,2020,12,14,5,5,2,0,0,4,6,6
Ren'Py,2020,12,14,8,5,5,2,0,0,18,8
Agda,2020,12,13,8,0,3,1,1,1,10,5
Isabelle,2020,12,13,7,0,3,1,0,2,9,5
Astro,2020,12,13,3,0,0,1,0,4,14,10
Yacc,2020,12,13,5,1,1,0,1,6,6,5
ANTLR,2020,12,12,3,2,4,4,4,0,12,4
Fancy,2020,12,12,0,0,0,0,0,0,1,1
SAS,2020,12,11,8,0,1,0,0,4,6,3
PureBasic,2020,12,11,10,12,5,18,11,2,39,6
M,2020,12,11,8,8,23,9,4,3,27,4
Stata,2020,12,11,6,0,0,1,0,2,4,3
JetBrains MPS,2020,12,11,0,0,0,0,0,0,5,4
GAMS,2020,12,10,2,0,2,0,0,1,3,2
UnrealScript,2020,12,10,3,0,0,1,0,0,4,4
Bikeshed,2020,12,9,8,6,36,7,0,1,23,5
Bro,2020,12,9,0,0,0,0,0,4,1,1
Grammatical Framework,2020,12,9,0,0,0,0,0,0,1,1
mIRC Script,2020,12,9,4,0,2,0,0,2,6,6
Macaulay2,2020,12,9,6,6,39,1,0,9,7,2
StringTemplate,2020,12,9,0,0,0,0,0,0,2,1
MLIR,2020,12,8,4,0,0,0,0,0,2,2
VCL,2020,12,8,10,0,1,0,0,9,9,5
Witcher Script,2020,12,8,13,0,0,0,0,0,1,1
ColdFusion,2020,12,8,3,4,8,1,0,1,11,8
Brainfuck,2020,12,8,21,8,21,0,0,11,4,1
SuperCollider,2020,12,8,0,0,0,0,0,0,2,2
Odin,2020,12,8,0,0,0,2,0,0,4,2
F*,2020,12,8,1,1,3,2,0,3,9,3
LookML,2020,12,8,5,0,0,1,0,2,5,4
Haml,2020,12,7,0,0,0,0,0,0,1,1
Cirru,2020,12,7,10,0,0,1,0,6,5,7
XC,2020,12,7,0,0,0,0,0,0,3,1
1C Enterprise,2020,12,7,3,1,6,1,1,3,6,5
Scilab,2020,12,7,2,0,1,0,0,1,3,2
Nasal,2020,12,6,5,2,7,0,0,2,5,2
FIRRTL,2020,12,6,0,0,0,0,0,0,2,1
LabVIEW,2020,12,6,5,1,7,0,0,3,7,8
Slim,2020,12,6,1,0,3,0,0,0,4,3
Matlab,2020,12,6,0,2,6,3,1,2,10,7
IDL,2020,12,6,2,0,0,0,0,1,2,2
Rascal,2020,12,5,0,0,0,0,0,0,3,3
NCL,2020,12,5,1,3,7,0,0,0,12,2
mcfunction,2020,12,5,1,1,0,1,1,4,5,3
AngelScript,2020,12,5,8,5,3,0,1,3,6,4
Web Ontology Language,2020,12,5,0,6,11,0,1,2,9,5
OpenSCAD,2020,12,5,4,3,5,5,0,1,11,8
HLSL,2020,12,5,2,0,3,1,0,0,5,4
Gosu,2020,12,5,0,6,7,1,1,0,9,2
Dhall,2020,12,5,1,1,1,1,0,1,7,4
Squirrel,2020,12,5,10,0,0,0,0,0,1,3
Meson,2020,12,5,2,2,0,1,0,0,5,3
Brightscript,2020,12,4,4,1,1,0,0,4,5,4
Protocol Buffer,2020,12,4,0,0,3,3,1,0,8,2
TLA,2020,12,4,2,1,0,1,0,0,3,3
YAML,2020,12,4,4,6,21,7,2,3,27,10
Marko,2020,12,4,5,0,0,0,0,1,3,2
P4,2020,12,4,0,0,0,1,0,2,3,3
COBOL,2020,12,4,3,0,0,1,1,8,4,2
LiveScript,2020,12,4,0,0,0,0,0,1,3,2
ATS,2020,12,4,0,0,0,1,0,0,2,2
BlitzMax,2020,12,4,0,5,12,0,0,0,2,1
Bluespec,2020,12,4,1,0,1,2,1,0,5,3
XML,2020,12,4,2,0,0,0,0,1,4,3
IGOR Pro,2020,12,4,4,1,1,0,1,2,3,2
Stan,2020,12,3,0,0,8,0,0,0,6,1
Eiffel,2020,12,3,0,0,0,0,0,3,1,1
AGS Script,2020,12,3,0,0,0,2,1,0,4,3
MoonScript,2020,12,3,3,0,0,4,0,2,6,2
ApacheConf,2020,12,3,8,0,1,1,15,2,18,3
VimL,2020,12,3,2,5,2,19,2,0,28,20
Logos,2020,12,3,1,11,0,4,2,0,13,5
VBScript,2020,12,3,0,0,1,0,0,0,2,1
Procfile,2020,12,3,0,0,0,0,0,0,1,1
DenizenScript,2020,12,3,3,5,0,1,0,0,2,1
Fluent,2020,12,3,0,0,0,0,0,0,1,2
DataWeave,2020,12,3,3,0,0,0,0,1,2,1
AppleScript,2020,12,3,0,0,0,3,1,2,6,4
SQLPL,2020,12,3,2,0,0,4,6,0,12,4
Thrift,2020,12,3,2,0,0,2,0,1,5,4
Dylan,2020,12,2,0,0,0,0,0,0,1,1
SQL,2020,12,2,4,0,0,0,0,0,1,1
NASL,2020,12,2,0,0,0,1,0,0,3,3
API Blueprint,2020,12,2,3,0,1,0,1,2,4,4
Mercury,2020,12,2,0,0,0,2,0,0,4,3
Arc,2020,12,2,2,0,1,0,1,0,3,1
eC,2020,12,2,0,0,0,0,0,0,1,1
PicoLisp,2020,12,2,1,1,3,0,0,0,3,3
LilyPond,2020,12,2,0,0,0,0,0,0,2,1
CUE,2020,12,2,0,0,0,0,0,0,2,1
kvlang,2020,12,2,0,0,0,0,0,0,1,1
KakouneScript,2020,12,2,0,0,0,0,0,0,1,1
Gnuplot,2020,12,2,0,1,8,5,0,0,10,6
ASP,2020,12,2,1,0,1,1,1,1,4,4
FORTRAN,2020,12,2,1,0,2,0,0,0,3,2
Pawn,2020,12,2,4,0,0,0,1,0,2,2
PowerBuilder,2020,12,2,3,1,2,0,0,2,3,2
Red,2020,12,2,0,1,6,0,0,0,4,1
POV-Ray SDL,2020,12,1,0,0,0,0,0,0,1,1
Idris,2020,12,1,2,3,1,6,2,1,11,3
Terra,2020,12,1,0,0,2,0,0,0,1,1
ImageJ Macro,2020,12,1,3,1,9,0,0,0,3,1
Objective-J,2020,12,1,2,0,0,0,0,0,2,1
Lasso,2020,12,1,2,0,3,3,4,0,9,2
RenderScript,2020,12,1,0,0,0,0,0,0,1,1
Pan,2020,12,1,1,0,0,0,0,0,1,1
Ceylon,2020,12,1,0,0,0,0,0,0,1,1
G-code,2020,12,1,0,0,3,0,0,0,3,2
sed,2020,12,1,0,0,1,0,0,0,3,3
SWIG,2020,12,1,2,0,0,0,0,0,1,1
HiveQL,2020,12,1,0,0,0,0,0,0,1,1
Zeek,2020,12,1,0,0,0,0,0,6,2,2
GCC Machine Description,2020,12,1,2,1,0,3,0,0,6,3
ECL,2020,12,1,1,0,0,0,0,0,1,1
XProc,2020,12,1,0,0,0,0,0,0,1,1
Inno Setup,2020,12,1,0,0,0,2,0,3,5,5
Cython,2020,12,1,1,4,14,29,2,1,44,12
DTrace,2020,12,1,0,0,0,0,0,0,1,1
AsciiDoc,2020,12,1,0,0,0,0,0,0,1,1
MAXScript,2020,12,1,0,0,0,0,0,0,3,1
RMarkdown,2020,12,1,2,0,0,0,0,0,1,1
OpenEdge ABL,2020,12,1,1,0,1,0,0,1,3,2
Qt Script,2020,12,1,3,0,0,0,0,0,1,1
YASnippet,2020,12,1,1,0,0,0,0,0,1,1
Nimrod,2020,12,1,0,0,0,0,0,0,1,1
Rouge,2020,12,1,0,0,0,0,0,0,1,1
Forth,2020,12,1,3,0,3,0,0,1,3,2
AutoIt,2020,12,1,0,0,0,2,0,0,3,2
Mako,2020,12,1,1,0,0,0,0,0,2,2
E,2020,12,1,0,0,0,0,0,0,1,1
Perl 6,2020,12,1,2,2,2,1,0,1,5,3
Uno,2020,12,1,1,0,1,0,0,0,2,1
Slash,2020,12,1,1,0,0,0,0,0,1,1
BrighterScript,2020,12,0,0,0,1,0,0,0,1,1
Vim Snippet,2020,12,0,0,0,1,0,0,0,1,1
Boogie,2020,12,0,0,1,2,0,0,0,2,1
REALbasic,2020,12,0,0,0,0,0,0,0,1,1
Nginx,2020,12,0,1,0,0,1,0,1,2,2
Eagle,2020,12,0,0,0,1,2,2,0,5,5
OpenQASM,2020,12,0,0,0,0,2,0,0,2,1
Perl6,2020,12,0,0,0,0,1,1,0,2,2
Propeller Spin,2020,12,0,0,0,0,2,0,0,2,1
Pony,2020,12,0,0,0,1,1,0,0,2,2
Answer Set Programming,2020,12,0,0,0,0,0,1,0,1,1
HyPhy,2020,12,0,0,1,0,0,0,0,1,1
ChucK,2020,12,0,0,0,0,2,0,0,2,1
Valve Data Format,2020,12,0,0,1,1,0,0,0,1,1
KiCad,2020,12,0,0,0,0,2,1,0,3,2
Cap'n Proto,2020,12,0,1,0,0,1,0,0,2,1
Cadence,2020,12,0,0,0,0,0,1,0,1,1
Classic ASP,2020,12,0,0,0,0,5,2,0,7,1
reStructuredText,2020,12,0,3,2,8,2,1,0,11,1
REXX,2020,12,0,0,0,0,1,0,0,1,1
Hosts File,2020,12,0,0,1,1,0,0,0,2,1
PlantUML,2020,12,0,0,0,2,8,1,0,11,1
Awk,2020,12,0,2,0,1,2,1,0,4,3
MQL5,2020,12,0,0,0,0,2,0,0,1,1
GAP,2020,12,0,3,0,9,0,0,0,8,4
CLIPS,2020,12,0,1,0,4,3,0,0,5,2
PEG.js,2020,12,0,0,1,0,0,0,0,1,1
LSL,2020,12,0,0,1,0,0,0,0,1,1
Fennel,2020,12,0,0,2,2,0,0,0,2,1
Self,2020,12,0,0,0,0,1,0,0,1,1
